SYMBOL;TIMEFRAME;MA_TYPE;SHARPE RATIO;END VALUE;TOTAL RETURN [%];BENCHMARK RETURN [%];WIN RATE [%];TOTAL TRADES;MAX DRAWDOWN [%];CALMAR RATIO;SORTINO RATIO;AVG WINNING TRADE [%];MIN VALUE;MAX VALUE;BEST TRADE [%];PROFIT FACTOR;AVG LOSING TRADE [%];WORST TRADE [%];OMEGA RATIO;EXPECTANCY;HIGH_OFFSET;LOW_OFFSET;ZEMA_LEN_BUY;ZEMA_LEN_SELL;SSL_ATR_PERIOD;COMPARE RETURN;COMPARE RETURN FLAG;SCORE_1;SCORE_2;SCORE_3;TYPE
ETHUSDT;1m;ZLMA_ZELMA;3,298973799;37522,29612;275,2229612;69,59237816;65,18518519;811;22,18783413;13,25061658;4,74437383;0,958409599;9855,716122;38120,87872;7,012268311;1,377033453;-1,290986425;-8,725751193;1,147132329;34,42983814;1,002;1;60;70;5;205,6305831;TRUE;87,90652779;86,92900049;85,24634379;max
BTCUSDT;1m;ZLMA_ZELMA;3,298973799;37522,29612;275,2229612;69,59237816;65,18518519;811;22,18783413;13,25061658;4,74437383;0,958409599;9855,716122;38120,87872;7,012268311;1,377033453;-1,290986425;-8,725751193;1,147132329;34,42983814;1,002;1;60;70;5;205,6305831;TRUE;87,90652779;86,92900049;85,24634379;max
SOLUSDT;1m;ZLMA_ZELMA;3,510091401;74321,66522;643,2166522;118,8603374;64,72491909;928;32,10968909;21,81159588;5,145122471;1,246134131;9414,64453;77110,39846;9,630689439;1,384358298;-1,624210767;-12,48493889;1,16086209;71,06476949;1,002;1;60;70;5;524,3563148;TRUE;88,41268221;89,66052868;79,08435187;max
XRPUSDT;1m;ZLMA_ZELMA;3,510091401;74321,66522;643,2166522;118,8603374;64,72491909;928;32,10968909;21,81159588;5,145122471;1,246134131;9414,64453;77110,39846;9,630689439;1,384358298;-1,624210767;-12,48493889;1,16086209;71,06476949;1,002;1;60;70;5;524,3563148;TRUE;88,41268221;89,66052868;79,08435187;max
BTCUSDT;1m;ZLMA_HMA;2,913644172;28873,32063;188,7332063;149,796978;64,72893534;1531;19,15728194;10,45369126;4,064538325;0,586233944;9370,387516;29063,97991;3,068046743;1,23616182;-0,867305735;-5,424688758;1,057587107;12,32744653;1,002;1;60;70;5;38,93622837;TRUE;15,96927527;13,92139309;19,23379922;max
ETHUSDT;1m;ZLMA_HMA;2,81054153;32055,09332;220,5509332;69,50376843;64,59694989;1836;22,56024261;10,40069614;3,913582846;0,615229934;9696,766912;33705,69355;6,810466941;1,206409936;-0,929673078;-6,019727341;1,056873289;12,01257806;1,002;1;60;70;5;151,0471647;TRUE;58,43300817;55,68535197;59,99594695;max
SOLUSDT;1m;ZLMA_HMA;3,418759736;76074,26688;660,7426688;118,8603374;68,78787879;661;30,12089645;23,90176779;4,987085562;1,498600746;8449,776534;81715,67948;7,163207163;1,422037227;-2,234921799;-12,12347237;1,149386176;102,3336117;1,002;1;60;70;5;541,8823315;TRUE;96,16104491;98,21735286;86,40196557;max
XRPUSDT;1m;ZLMA_HMA;3,418759736;76074,26688;660,7426688;118,8603374;68,78787879;661;30,12089645;23,90176779;4,987085562;1,498600746;8449,776534;81715,67948;7,163207163;1,422037227;-2,234921799;-12,12347237;1,149386176;102,3336117;1,002;1;60;70;5;541,8823315;TRUE;96,16104491;98,21735286;86,40196557;max
BTCUSDT;1m;ZLEMA;3,632130354;41452,54859;314,5254859;150,915432;74,93506494;1541;19,99962652;16,84413165;5,088573378;0,48655547;9548,439288;42034,40975;1,811818328;1,3846391;-1,067483563;-5,333967909;1,018030423;20,72705787;1,002;1;60;70;5;163,610054;TRUE;76,62646045;75,06831984;82,5787132;max
ETHUSDT;1m;ZLEMA;2,80543723;36541,50378;265,4150378;70,58145649;72,68385864;1048;19,1122963;14,82441061;3,913484112;0,780561867;9701,460936;38468,53826;3,231880284;1,309404915;-1,574327014;-11,41222556;1,013186416;26,54599316;1,002;1;60;70;5;194,8335813;TRUE;94,57459774;94,36473077;96,02151388;max
SOLUSDT;1m;ZLEMA;3,06199278;71963,60426;619,6360426;118,1116215;81,69464428;1252;31,39456066;21,47020196;4,306725217;0,718378129;9039,509187;75583,77736;4,261475733;1,391503252;-2,285524083;-15,0962153;1,035548299;50,3690617;1,002;1;60;70;5;501,524421;TRUE;100;100;100;max
XRPUSDT;1m;ZLEMA;3,06199278;71963,60426;619,6360426;118,1116215;81,69464428;1252;31,39456066;21,47020196;4,306725217;0,718378129;9039,509187;75583,77736;4,261475733;1,391503252;-2,285524083;-15,0962153;1,035548299;50,3690617;1,002;1;60;70;5;501,524421;TRUE;100;100;100;max
BTCUSDT;1m;JMA;3,09839047;31199,96743;211,9996743;149,796978;68,56330014;704;14,86904974;15,15832997;4,341818407;0,842803244;9908,871041;31398,78121;2,758308176;1,392780363;-1,294450331;-5,475576646;1,060648562;30,33128069;1,002;1;60;70;5;62,20269637;TRUE;34,07998627;34,82323374;37,21156284;max
ETHUSDT;1m;JMA;2,678428978;33905,37295;239,0537295;70,16093783;69,66580977;779;25,31487072;10,06099335;3,738865755;1,060964836;9680,185472;35899,31654;5,017764119;1,3260754;-1,848555019;-12,41046636;1,027386401;32,53326348;1,002;1;60;70;5;168,8927916;TRUE;67,25653886;65,89797267;67,01139563;max
SOLUSDT;1m;JMA;3,490353924;54774,19658;447,7419658;118,0050801;67,35483871;776;22,95995127;21,04741465;5,011253505;0,918803508;9444,767429;55540,02895;6,163967611;1,547859777;-1,203613466;-8,942661757;1,129399007;58,36542591;1,002;1;60;70;5;329,7368857;TRUE;55,72658163;60,02442529;51,71341149;max
XRPUSDT;1m;JMA;3,490353924;54774,19658;447,7419658;118,0050801;67,35483871;776;22,95995127;21,04741465;5,011253505;0,918803508;9444,767429;55540,02895;6,163967611;1,547859777;-1,203613466;-8,942661757;1,129399007;58,36542591;1,002;1;60;70;5;329,7368857;TRUE;55,72658163;60,02442529;51,71341149;max
BTCUSDT;1m;HMA;3,257455679;32464,35079;224,6435079;149,796978;59,73333333;2250;18,68134876;12,79744545;4,570278619;0,516142967;9825,307723;32902,76043;3,068046743;1,238185772;-0,629205604;-5,034720604;1,064455935;9,984155906;1,002;1;60;70;5;74,84652992;TRUE;35,97923445;33,31770718;39,73475648;max
ETHUSDT;1m;HMA;3,449110034;35627,9146;256,279146;69,59237816;66,77290837;1256;14,99850931;18,22817506;4,967362352;0,595278359;9855,351345;36067,41632;5,014072632;1,356447659;-0,878394836;-7,760747685;1,177178965;20,35006016;1,002;1;60;70;5;186,6867678;TRUE;100;100;100;max
SOLUSDT;1m;HMA;3,308429148;69507,11877;595,0711877;118,8603374;61,95773081;900;33,64077454;19,22271444;4,848935273;1,392252163;9154,081757;72169,77455;7,05809832;1,342008744;-1,647571273;-12,48493889;1,146329784;67,6824134;1,002;1;60;70;5;476,2108503;TRUE;68,98634671;69,6193653;59,05191224;max
XRPUSDT;1m;HMA;3,308429148;69507,11877;595,0711877;118,8603374;61,95773081;900;33,64077454;19,22271444;4,848935273;1,392252163;9154,081757;72169,77455;7,05809832;1,342008744;-1,647571273;-12,48493889;1,146329784;67,6824134;1,002;1;60;70;5;476,2108503;TRUE;68,98634671;69,6193653;59,05191224;max
BTCUSDT;1m;ZLMA;3,632130354;41452,54859;314,5254859;150,915432;74,93506494;1541;19,99962652;16,84413165;5,088573378;0,48655547;9548,439288;42034,40975;1,811818328;1,3846391;-1,067483563;-5,333967909;1,018030423;20,72705787;1,002;1;60;70;5;163,610054;TRUE;76,62646045;75,06831984;82,5787132;max
ETHUSDT;1m;ZLMA;2,80543723;36541,50378;265,4150378;70,58145649;72,68385864;1048;19,1122963;14,82441061;3,913484112;0,780561867;9701,460936;38468,53826;3,231880284;1,309404915;-1,574327014;-11,41222556;1,013186416;26,54599316;1,002;1;60;70;5;194,8335813;TRUE;94,57459774;94,36473077;96,02151388;max
SOLUSDT;1m;ZLMA;3,06199278;71963,60426;619,6360426;118,1116215;81,69464428;1252;31,39456066;21,47020196;4,306725217;0,718378129;9039,509187;75583,77736;4,261475733;1,391503252;-2,285524083;-15,0962153;1,035548299;50,3690617;1,002;1;60;70;5;501,524421;TRUE;100;100;100;max
XRPUSDT;1m;ZLMA;3,06199278;71963,60426;619,6360426;118,1116215;81,69464428;1252;31,39456066;21,47020196;4,306725217;0,718378129;9039,509187;75583,77736;4,261475733;1,391503252;-2,285524083;-15,0962153;1,035548299;50,3690617;1,002;1;60;70;5;501,524421;TRUE;100;100;100;max
